S2 Cell,state_name,county_name,Waymo RO Miles
9263844870894649344,California,Santa Clara,3295.918530002869
9263844905254387712,California,Santa Clara,12535.002799981201
9263844939614126080,California,Santa Clara,34417.74598742815
9263844973973864448,California,Santa Clara,24080.19055924605
9263845008333602816,California,Santa Clara,49229.53790912053
9263845042693341184,California,Santa Clara,18405.06713539296
9263845077053079552,California,Santa Clara,2300.3888802310507
9263845111412817920,California,Santa Clara,5217.042276601435
9263845145772556288,California,Santa Clara,5277.0295113639
9263845180132294656,California,Santa Clara,4535.850383952186
9263845214492033024,California,Santa Clara,32682.56103047457
9263845248851771392,California,Santa Clara,25773.826846702585
9263845283211509760,California,Santa Clara,5207.38282416511
9263845317571248128,California,Santa Clara,14908.371975270216
9263845351930986496,California,Santa Clara,16088.077283750437
9263845386290724864,California,Santa Clara,8784.200522247367
9263845420650463232,California,Santa Clara,3901.748349549476
9263845455010201600,California,Santa Clara,8532.422199709912
9263845489369939968,California,Santa Clara,5841.316540547238
9263845523729678336,California,Santa Clara,5939.288804689849
9263845558089416704,California,Santa Clara,3840.284101343734
9263845592449155072,California,Santa Clara,8408.986762603152
9263845626808893440,California,Santa Clara,4707.1244337952785
9263845661168631808,California,Santa Clara,8382.374084423494
9263845695528370176,California,Santa Clara,4591.620973489353
9263845729888108544,California,Santa Clara,2261.9567318226977
9263845764247846912,California,Santa Clara,317.76842756685636
9263845798607585280,California,Santa Clara,633.6515895353734
9263845832967323648,California,Santa Clara,611.9785289619218
9263845867327062016,California,Santa Clara,572.2421144300534
9263845901686800384,California,Santa Clara,4016.0379129386324
9263845936046538752,California,Santa Clara,2145.2203193879773
9263845970406277120,California,Santa Clara,389.7230500923957
9263846004766015488,California,Santa Clara,4793.862117659611
9263846039125753856,California,Santa Clara,11874.45098843645
9263846073485492224,California,Santa Clara,9360.335327689878
9263846107845230592,California,Santa Clara,13734.655798662292
9263846142204968960,California,Santa Clara,6456.627311852969
9263846176564707328,California,Santa Clara,3164.387549337427
9263846210924445696,California,Santa Clara,7213.591235751985
9263846245284184064,California,Santa Clara,7708.197264156393
9263846279643922432,California,Santa Clara,11401.653609944036
9263846314003660800,California,Santa Clara,5658.600335267488
9263846348363399168,California,Santa Clara,117.97285121387742
9263846382723137536,California,Santa Clara,1077.3546673819085
9263846417082875904,California,Santa Clara,4156.891307251158
9263846451442614272,California,Santa Clara,2842.9096463919495
9263846485802352640,California,Santa Clara,2153.090486184701
9263846520162091008,California,Santa Clara,1993.507998493719
9263846554521829376,California,Santa Clara,6125.337829595518
9263846588881567744,California,Santa Clara,10620.694608592745
9263846623241306112,California,Santa Clara,7258.610185253933
9263846657601044480,California,Santa Clara,16169.203720073629
9263846691960782848,California,Santa Clara,8580.00510021334
9263846726320521216,California,Santa Clara,9484.333163557902
9263846760680259584,California,Santa Clara,5803.719092145884
9263846795039997952,California,Santa Clara,29997.391852228833
9263846829399736320,California,Santa Clara,34271.02639947707
9263846863759474688,California,Santa Clara,16805.486280590514
9263846898119213056,California,Santa Clara,4867.32358359915
9263846932478951424,California,Santa Clara,24684.006332849847
9263846966838689792,California,Santa Clara,12763.437629848133
9263847001198428160,California,Santa Clara,20641.400733024857
9263847035558166528,California,Santa Clara,18987.801351184113
9263847069917904896,California,Santa Clara,21197.00389214399
9263847104277643264,California,Santa Clara,6134.292987690296
9263847138637381632,California,Santa Clara,7370.641731646352
9263847172997120000,California,Santa Clara,17962.59237639282
9263847207356858368,California,Santa Clara,673.1329736012095
9263847241716596736,California,Santa Clara,97.90910679373964
9263847688393195520,California,Santa Clara,277.95110376740996
9263847791472410624,California,Santa Clara,1987.9955257563865
9263847825832148992,California,Santa Clara,4001.896517025641
9263847860191887360,California,Santa Clara,1056.3906196893915
9263847894551625728,California,Santa Clara,3140.346946072887
9263847928911364096,California,Santa Clara,11442.061981257952
9263847963271102464,California,Santa Clara,10519.505069946681
9263847997630840832,California,Santa Clara,2271.807962540242
9263848031990579200,California,Santa Clara,4031.538310150544
9263848066350317568,California,Santa Clara,6591.134335191903
9263848100710055936,California,Santa Clara,1455.1126055965003
9263848135069794304,California,Santa Clara,1362.2245452203292
9263848169429532672,California,Santa Clara,295.7733838265664
9263848203789271040,California,Santa Clara,556.6935745136847
9263848238149009408,California,Santa Clara,189.81641331730484
9263848272508747776,California,Santa Clara,469.1112367414543
9263848306868486144,California,Santa Clara,150.60049824224618
9263848513026916352,California,Santa Clara,30.14222541654495
9263848547386654720,California,Santa Clara,177.40478901729983
9278157729149485056,California,Los Angeles,470.51442041663853
9278157763509223424,California,Los Angeles,112763.53101273478
9278157797868961792,California,Los Angeles,2966.8625922416727
9278157832228700160,California,Los Angeles,2580.1269348563737
9278159137898758144,California,Los Angeles,52163.39548687703
9278159172258496512,California,Los Angeles,27226.464342551993
9278159206618234880,California,Los Angeles,135199.8608089875
9278159240977973248,California,Los Angeles,66862.81296394384
9278159275337711616,California,Los Angeles,236478.78902272566
9278159309697449984,California,Los Angeles,175611.74041432826
9278159344057188352,California,Los Angeles,151130.9297231739
9278159378416926720,California,Los Angeles,607104.2183586515
9278159412776665088,California,Los Angeles,339347.46819265356
9278159790733787136,California,Los Angeles,43399.679175463316
9278172091520122880,California,Los Angeles,12023.312820413756
