id,source_id,market,state,reported_date,month,reporter_type,issue,operator,source_url
ATX-34,34,Austin,TX,2023-09-19,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/34
ATX-31,31,Austin,TX,2023-09-20,2023-09,City Employee,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/31
ATX-33,33,Austin,TX,2023-09-20,2023-09,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/33
ATX-32,32,Austin,TX,2023-09-24,2023-09,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/32
ATX-51,51,Austin,TX,2023-09-24,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/51
ATX-53,53,Austin,TX,2023-09-24,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/53
ATX-35,35,Austin,TX,2023-09-25,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/35
ATX-39,39,Austin,TX,2023-09-25,2023-09,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/39
ATX-36,36,Austin,TX,2023-09-27,2023-09,City Employee,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/36
ATX-38,38,Austin,TX,2023-09-28,2023-09,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/38
ATX-37,37,Austin,TX,2023-09-30,2023-09,AFD,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/37
ATX-40,40,Austin,TX,2023-09-30,2023-09,City Employee,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/40
ATX-42,42,Austin,TX,2023-09-30,2023-09,City Employee,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/42
ATX-41,41,Austin,TX,2023-10-01,2023-10,APD,Ignore APD Direction,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/41
ATX-44,44,Austin,TX,2023-10-06,2023-10,City Employee,Blocking Traffic,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/44
ATX-43,43,Austin,TX,2023-10-11,2023-10,EMS,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/43
ATX-47,47,Austin,TX,2023-10-14,2023-10,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/47
ATX-45,45,Austin,TX,2023-10-21,2023-10,AFD,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/45
ATX-46,46,Austin,TX,2023-10-23,2023-10,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/46
ATX-50,50,Austin,TX,2023-10-23,2023-10,Resident Feedback,Near Miss,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/50
ATX-49,49,Austin,TX,2023-10-24,2023-10,City Employee,Collision,AV Ride,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/49
ATX-48,48,Austin,TX,2023-10-30,2023-10,Resident Feedback,Safety Concern,Cruise,https://services.arcgis.com/0L95CJ0VTaxqcmED/arcgis/rest/services/TPW_AV_Incidents_Reports_view/FeatureServer/0/48
